date,geography,geography code,Religion: Total: All usual residents,Religion: No religion,Religion: Christian,Religion: Buddhist,Religion: Hindu,Religion: Jewish,Religion: Muslim,Religion: Sikh,Religion: Other religion,Religion: Not answered
2021,Hartlepool,E06000001,92338,36995,48495,180,222,27,1213,166,285,4755
2021,Middlesbrough,E06000002,143924,52415,66143,437,1436,41,14703,606,460,7683
2021,Redcar and Cleveland,E06000003,136529,54921,72359,280,139,37,984,70,491,7248
2021,Stockton-on-Tees,E06000004,196595,76840,100420,532,811,61,6675,782,550,9924
2021,Darlington,E06000005,107799,42780,56194,344,453,36,1849,443,404,5296
2021,Halton,E06000006,128478,45261,75269,291,327,46,805,80,453,5946
2021,Warrington,E06000007,210974,73042,119650,605,1495,190,3686,478,794,11034
2021,Blackburn with Darwen,E06000008,154739,32717,58793,262,483,49,54146,139,439,7711
2021,Blackpool,E06000009,141036,57812,71698,500,511,227,2004,109,707,7468
2021,"Kingston upon Hull, City of",E06000010,267016,131424,106411,746,646,146,9285,277,1124,16957
2021,East Riding of Yorkshire,E06000011,342216,133916,182396,885,758,284,1966,227,1224,20560
2021,North East Lincolnshire,E06000012,156968,73008,71063,417,425,79,1922,183,653,9218
2021,North Lincolnshire,E06000013,169680,65581,88455,406,418,49,4201,566,614,9390
2021,York,E06000014,202820,93577,89019,1045,1043,273,2488,179,1266,13930
2021,Derby,E06000015,261364,95639,104969,828,3065,150,29137,9762,1297,16517
2021,Leicester,E06000016,368574,84607,91161,1181,65821,326,86443,16451,2075,20509
2021,Rutland,E06000017,41052,15239,22728,150,125,53,258,67,201,2231
2021,Nottingham,E06000018,323630,133403,112200,1671,5403,941,39540,4110,2263,24099
2021,"Herefordshire, County of",E06000019,187034,68475,102614,646,384,142,790,117,904,12962
2021,Telford and Wrekin,E06000020,185542,75965,88275,597,1352,78,5043,2851,933,10448
2021,Stoke-on-Trent,E06000021,258369,97433,118434,811,1356,83,23790,602,1150,14710
2021,Bath and North East Somerset,E06000022,193414,92567,81553,996,875,325,1909,162,1097,13930
2021,"Bristol, City of",E06000023,472465,242864,152126,2710,3545,1228,31776,2247,3546,32423
2021,North Somerset,E06000024,216729,98085,100990,695,468,166,1346,117,1166,13696
2021,South Gloucestershire,E06000025,290425,133749,128014,1056,2896,173,4720,1006,1319,17492
2021,Plymouth,E06000026,264695,129338,112526,1018,814,207,3474,96,1527,15695
