date,geography,geography code,Gender identity: Total: All usual residents aged 16 years and over,Gender identity: Gender identity the same as sex registered at birth,Gender identity: Gender identity different from sex registered at birth but no specific identity given,Gender identity: Trans woman,Gender identity: Trans man,Gender identity: Non-binary,Gender identity: All other gender identities,Gender identity: Not answered
2021,Hartlepool,E06000001,74686,70588,167,49,51,33,21,3777
2021,Middlesbrough,E06000002,113938,106009,496,141,174,77,50,6991
2021,Redcar and Cleveland,E06000003,112342,106416,154,78,98,38,25,5533
2021,Stockton-on-Tees,E06000004,158009,150028,272,122,122,53,31,7381
2021,Darlington,E06000005,88105,83782,151,83,71,32,35,3951
2021,Halton,E06000006,103948,99109,194,65,83,32,28,4437
2021,Warrington,E06000007,172720,164304,273,145,159,57,42,7740
2021,Blackburn with Darwen,E06000008,119508,110050,368,98,115,36,30,8811
2021,Blackpool,E06000009,116341,109709,316,124,134,59,44,5955
2021,"Kingston upon Hull, City of",E06000010,213877,197316,632,242,242,166,96,15183
2021,East Riding of Yorkshire,E06000011,288136,272645,350,163,162,84,63,14669
2021,North East Lincolnshire,E06000012,127524,120178,276,101,115,39,38,6777
2021,North Lincolnshire,E06000013,139466,130991,423,104,116,43,42,7747
2021,York,E06000014,172083,160735,242,171,170,318,161,10286
2021,Derby,E06000015,209191,191767,1054,238,238,146,101,15647
2021,Leicester,E06000016,291014,260140,1649,437,496,210,119,27963
2021,Rutland,E06000017,34297,32573,30,16,20,8,6,1644
2021,Nottingham,E06000018,264322,239353,1010,369,411,336,166,22677
2021,"Herefordshire, County of",E06000019,157133,146476,227,99,105,76,36,10114
2021,Telford and Wrekin,E06000020,148672,139411,361,118,149,58,40,8535
2021,Stoke-on-Trent,E06000021,205900,190246,621,299,350,159,81,14144
2021,Bath and North East Somerset,E06000022,161618,151504,187,139,140,200,105,9343
2021,"Bristol, City of",E06000023,389708,360274,1145,466,440,794,375,26214
2021,North Somerset,E06000024,178568,168676,185,129,135,84,71,9288
